method,parameters,dataset,LxCIM,accuracy,AUROC,AUDRC,timestamp
ANM,,Tübingen,0.6082659407523474,0.5831850568472564,0.6111560710490447,0.6216201973825066,2025-11-25 23:19:25
FOM,,Tübingen,0.4607119982043311,0.4547001265004062,0.4635573326343601,0.4093338400030087,2025-11-25 23:19:25
HECI,,Tübingen,0.7411156241628587,0.7054670839683471,0.7598773428144111,0.7916616673004397,2025-11-25 23:19:25
IGCI,,Tübingen,0.7003745212938437,0.6085686665179405,0.6968235826480869,0.732541030268972,2025-11-25 23:19:25
LCube,,Tübingen,0.6242174999330873,0.5889967637540455,0.6192532333772174,0.7011890333837876,2025-11-25 23:19:25
NNCL,,Tübingen,0.6355533113794382,0.5522664721011663,0.6373455389369789,0.6336856473834425,2025-11-25 23:19:25
ROCHE,,Tübingen,0.5667171727627681,0.5304704931957324,0.5669865056104425,0.5366374608208977,2025-11-25 23:19:25
bqcd,,Tübingen,0.7105735348990053,0.6959169596311594,0.7086839237822169,0.7011544363717884,2025-11-25 23:19:25
cam,,Tübingen,0.45725375181742284,0.5234084269773702,0.4620569657859718,0.43141224492514146,2025-11-25 23:19:25
cdci,,Tübingen,0.5936888980108894,0.6151036809800013,0.5975139973361354,0.5503344366424974,2025-11-25 23:19:25
reci,,Tübingen,0.7612768475149349,0.7046254471023092,0.7434814486059961,0.7567272584959127,2025-11-25 23:19:25
sloppy,,Tübingen,0.7829758374025269,0.7083766048941095,0.7860753162049774,0.8420820397435218,2025-11-25 23:19:25
