method,dataset,accuracy,AUROC,source
emd,SIM,0.45,,bqcd
emd,SIM-c,0.40,,bqcd
emd,SIM-ln,0.52,,bqcd
emd,SIM-G,0.58,,bqcd
emd,AN,0.36,,bqcd
emd,AN-s,0.33,,bqcd
emd,LS,0.60,,bqcd
emd,LS-s,0.42,,bqcd
emd,MN-U,0.83,,bqcd
emd,Tuebingen,0.68,0.43,bqcd
lingam,SIM,0.42,,bqcd
lingam,SIM-c,0.53,,bqcd
lingam,SIM-ln,0.31,,bqcd
lingam,SIM-G,0.25,,bqcd
lingam,AN,0.00,,bqcd
lingam,AN-s,0.04,,bqcd
lingam,LS,0.07,,bqcd
lingam,LS-s,0.03,,bqcd
lingam,MN-U,0.00,,bqcd
lingam,Tuebingen,0.42,0.3,bqcd
gran,SIM,0.48,,bqcd
gran,SIM-c,0.44,,bqcd
gran,SIM-ln,0.43,,bqcd
gran,SIM-G,0.37,,bqcd
gran,AN,0.05,,bqcd
gran,AN-s,0.06,,bqcd
gran,LS,0.11,,bqcd
gran,LS-s,0.20,,bqcd
gran,MN-U,0.50,,bqcd
gran,Tuebingen,0.50,0.47,bqcd
gpi,SIM,0.82
gpi,SIM-c,0.86
gpi,SIM-ln,0.88
gpi,SIM-G,0.94
gpi,AN,0.95
gpi,AN-s,0.11
gpi,LS,0.91
gpi,LS-s,0.54
gpi,MN-U,0.90
gpi,Tuebingen,0.63,0.61,bqcd
pnl,SIM,0.70
pnl,SIM-c,0.65
pnl,SIM-ln,0.61
pnl,SIM-G,0.64
pnl,AN,0.96
pnl,AN-s,0.63
pnl,LS,0.91
pnl,LS-s,0.44
pnl,MN-U,0.66
pnl,Tuebingen,0.73,0.7,bqcd
cure,Tuebingen,0.61,0.64,bqcd
